last_name,first_name,employer,billed_amount,payment_amount,invoice_date,last_payment_date,city,state,zip_code
Simonis,Cornell,Water and Power,790.7,415.8,"Mon, 5 Sep 2011 00:00:00 +0000","Fri, 11 Jun 2010 00:00:00 +0000",Englewood,FL,34223
Abbott,Brandi,North Central Positronics,844.6,576.1,"Wed, 19 Jan 2011 00:00:00 +0000","Mon, 26 Jul 2010 00:00:00 +0000",Marianna,FL,32446
Stiedemann,Charley,123 Warehousing,549.7,505.8,"Fri, 18 Nov 2011 00:00:00 +0000","Sun, 1 Aug 2010 00:00:00 +0000",Tampa,FL,33606
Brown,Alexanne,Bluth Company,225.0,913.3,"Sun, 21 Feb 2010 00:00:00 +0000","Tue, 19 Jan 2010 00:00:00 +0000",Palm Harbor,FL,34684
Lueilwitz,Margret,Gringotts,649.8,669.6,"Tue, 31 Jan 2012 00:00:00 +0000","Tue, 26 Oct 2010 00:00:00 +0000",Jacksonville,FL,32216
Turner,Jude,Widget Corp,736.3,375.0,"Tue, 29 Jun 2010 00:00:00 +0000","Mon, 5 Apr 2010 00:00:00 +0000",Sanford,FL,32771
Luettgen,Marian,Fake Brothers,71.8,358.1,"Sat, 6 Mar 2010 00:00:00 +0000","Thu, 4 Feb 2010 00:00:00 +0000",Amelia Island,FL,32034
Boehm,Katelynn,Wentworth Industries,651.1,177.6,"Fri, 6 Jan 2012 00:00:00 +0000","Sat, 14 Aug 2010 00:00:00 +0000",Jacksonville,FL,32216
Tromp,Mafalda,LexCorp,421.3,139.3,"Wed, 12 Jan 2011 00:00:00 +0000","Fri, 29 Oct 2010 00:00:00 +0000",New Port Richey,FL,34655
Crooks,Rhiannon,QWERTY Logistics,703.0,571.4,"Tue, 23 Nov 2010 00:00:00 +0000","Sat, 15 May 2010 00:00:00 +0000",Fort Walton Beach,FL,32548
Monahan,Reilly,Mr. Sparkle,373.1,402.4,"Thu, 17 Feb 2011 00:00:00 +0000","Tue, 12 Jan 2010 00:00:00 +0000",Boca Raton,FL,33486
Mohr,Nyasia,Globex Corporation,110.8,642.5,"Mon, 14 Feb 2011 00:00:00 +0000","Wed, 12 Jan 2011 00:00:00 +0000",Orange Park,FL,32073
Herzog,Marquise,Strickland Propane,440.8,128.3,"Wed, 16 Jun 2010 00:00:00 +0000","Sat, 13 Mar 2010 00:00:00 +0000",Fort Walton Beach,FL,32548
Johnston,Jerel,Sample Company,642.8,921.3,"Wed, 1 Feb 2012 00:00:00 +0000","Sun, 12 Dec 2010 00:00:00 +0000",Sanford,FL,32771
Kohler,Kevon,QWERTY Logistics,92.4,350.7,"Fri, 14 May 2010 00:00:00 +0000","Tue, 20 Apr 2010 00:00:00 +0000",Jacksonville,FL,32204
Murazik,Tina,"Sample, inc",422.7,588.2,"Tue, 12 Oct 2010 00:00:00 +0000","Wed, 10 Feb 2010 00:00:00 +0000",Pembroke Pines,FL,33028
Windler,Ellen,Water and Power,593.9,516.4,"Tue, 15 Nov 2011 00:00:00 +0000","Fri, 16 Jul 2010 00:00:00 +0000",Hollywood,FL,33021
Price,Freddy,Widget Corp,373.4,689.3,"Wed, 21 Dec 2011 00:00:00 +0000","Sun, 26 Dec 2010 00:00:00 +0000",Pembroke Pines,FL,33028
Mann,Christiana,"Sample, inc",919.9,263.3,"Thu, 23 Feb 2012 00:00:00 +0000","Thu, 29 Dec 2011 00:00:00 +0000",Marianna,FL,32446
Waters,Ashlynn,Foo Bars,963.2,833.4,"Fri, 13 Jan 2012 00:00:00 +0000","Wed, 4 Aug 2010 00:00:00 +0000",Fort Myers,FL,33907
Sawayn,Kelsie,Demo Company,378.8,21.7,"Thu, 10 Jun 2010 00:00:00 +0000","Fri, 19 Feb 2010 00:00:00 +0000",Tampa,FL,33606
Rolfson,Mariana,Sombra Corporation,227.9,835.8,"Sat, 17 Apr 2010 00:00:00 +0000","Mon, 8 Feb 2010 00:00:00 +0000",Melbourne,FL,32940
Bernier,Domingo,Omni Consimer Products,356.5,791.0,"Wed, 28 Sep 2011 00:00:00 +0000","Tue, 9 Feb 2010 00:00:00 +0000",Fort Walton Beach,FL,32548
Torp,Monica,Omni Consimer Products,171.5,370.0,"Sat, 5 Mar 2011 00:00:00 +0000","Sun, 9 May 2010 00:00:00 +0000",Jacksonville,FL,32209
Prohaska,Sonya,ZiffCorp,458.3,944.0,"Wed, 10 Mar 2010 00:00:00 +0000","Tue, 5 Jan 2010 00:00:00 +0000",Pembroke Pines,FL,33024
Olson,Milan,QWERTY Logistics,256.1,440.8,"Wed, 22 Feb 2012 00:00:00 +0000","Sun, 18 Sep 2011 00:00:00 +0000",Ponte Vedra,FL,32082
Borer,Columbus,Omni Consimer Products,943.8,399.2,"Wed, 1 Jun 2011 00:00:00 +0000","Sat, 4 Dec 2010 00:00:00 +0000",Pensacola,FL,32504
O'Connell,Hudson,Demo Company,846.9,820.3,"Sun, 11 Jul 2010 00:00:00 +0000","Mon, 4 Jan 2010 00:00:00 +0000",Melbourne,FL,32940
Swift,Brady,ZiffCorp,875.1,778.8,"Sun, 15 May 2011 00:00:00 +0000","Tue, 27 Apr 2010 00:00:00 +0000",Marianna,FL,32446
Klocko,Guillermo,"Acme, inc.",952.3,456.7,"Sat, 23 Oct 2010 00:00:00 +0000","Sat, 1 May 2010 00:00:00 +0000",Boca Raton,FL,33486
Champlin,Garret,North Central Positronics,328.1,244.6,"Wed, 10 Nov 2010 00:00:00 +0000","Wed, 6 Oct 2010 00:00:00 +0000",Davie,FL,33331
Goldner,Marcelina,ZiffCorp,425.1,119.8,"Mon, 15 Aug 2011 00:00:00 +0000","Wed, 25 May 2011 00:00:00 +0000",Englewood,FL,34223
Howe,Dillon,Water and Power,581.6,417.1,"Fri, 20 May 2011 00:00:00 +0000","Tue, 11 Jan 2011 00:00:00 +0000",Pembroke Pines,FL,33024
Marks,Phoebe,Acme Corp,680.4,126.5,"Wed, 23 Nov 2011 00:00:00 +0000","Fri, 4 Jun 2010 00:00:00 +0000",Jacksonville,FL,32216
Doyle,Napoleon,LexCorp,395.8,415.3,"Mon, 14 Mar 2011 00:00:00 +0000","Thu, 22 Apr 2010 00:00:00 +0000",Davie,FL,33331
Kling,Clara,"Acme, inc.",88.2,694.4,"Sat, 17 Apr 2010 00:00:00 +0000","Fri, 9 Apr 2010 00:00:00 +0000",Orange Park,FL,32073
Parisian,Gino,Omni Consimer Products,987.1,905.5,"Tue, 15 Nov 2011 00:00:00 +0000","Thu, 16 Sep 2010 00:00:00 +0000",Tampa,FL,33606
Buckridge,Karson,Praxis Corporation,656.8,559.5,"Fri, 18 Nov 2011 00:00:00 +0000","Sun, 24 Jan 2010 00:00:00 +0000",West Palm Beach,FL,33401
Langworth,Jessika,QWERTY Logistics,555.6,195.0,"Wed, 20 Jan 2010 00:00:00 +0000","Tue, 19 Jan 2010 00:00:00 +0000",Pensacola,FL,32503
Lehner,Saige,Strickland Propane,13.5,186.7,"Wed, 2 Nov 2011 00:00:00 +0000","Tue, 13 Sep 2011 00:00:00 +0000",Jacksonville,FL,32209
Oberbrunner,Jess,Water and Power,113.2,314.6,"Thu, 22 Apr 2010 00:00:00 +0000","Tue, 26 Jan 2010 00:00:00 +0000",Naples,FL,34110
Leuschke,Roger,Bluth Company,769.9,433.6,"Fri, 26 Aug 2011 00:00:00 +0000","Mon, 3 Jan 2011 00:00:00 +0000",Pensacola,FL,32504
Altenwerth,Muhammad,Wayne Enterprises,173.5,77.1,"Sun, 7 Nov 2010 00:00:00 +0000","Fri, 9 Apr 2010 00:00:00 +0000",Ponte Vedra,FL,32082
Lueilwitz,Meda,Western Gas & Electric,314.8,703.0,"Fri, 29 Oct 2010 00:00:00 +0000","Thu, 29 Apr 2010 00:00:00 +0000",Melbourne,FL,32940
Gutmann,Hazel,123 Warehousing,416.2,578.2,"Mon, 7 Nov 2011 00:00:00 +0000","Tue, 20 Apr 2010 00:00:00 +0000",Englewood,FL,34223
Purdy,Camryn,Fake Brothers,111.6,505.9,"Fri, 12 Feb 2010 00:00:00 +0000","Fri, 12 Feb 2010 00:00:00 +0000",Tampa,FL,33606
Konopelski,Rosemarie,Foo Bars,125.9,15.9,"Sat, 5 Nov 2011 00:00:00 +0000","Sun, 11 Sep 2011 00:00:00 +0000",Pensacola,FL,32504
Stanton,Precious,Praxis Corporation,469.2,800.0,"Sat, 27 Feb 2010 00:00:00 +0000","Mon, 15 Feb 2010 00:00:00 +0000",Jacksonville,FL,32204
Kiehn,Tina,Smith and Co.,733.5,881.9,"Sat, 13 Feb 2010 00:00:00 +0000","Wed, 27 Jan 2010 00:00:00 +0000",Miami,FL,33173
Goodwin,Oceane,Globex Corporation,106.7,38.5,"Sat, 24 Apr 2010 00:00:00 +0000","Thu, 14 Jan 2010 00:00:00 +0000",West Palm Beach,FL,33401
Torp,Vincenzo,Mr. Sparkle,409.8,31.7,"Tue, 20 Mar 2012 00:00:00 +0000","Sun, 24 Jan 2010 00:00:00 +0000",Orange Park,FL,32073
Dibbert,Mossie,Foo Bars,182.9,4.3,"Thu, 10 Mar 2011 00:00:00 +0000","Mon, 28 Jun 2010 00:00:00 +0000",Tampa,FL,33606
Kreiger,Roselyn,Globex Corporation,449.6,709.8,"Mon, 21 Feb 2011 00:00:00 +0000","Wed, 18 Aug 2010 00:00:00 +0000",Tallahassee,FL,32308
Senger,Neva,Smith and Co.,524.4,76.1,"Fri, 28 Oct 2011 00:00:00 +0000","Sat, 20 Feb 2010 00:00:00 +0000",Fort Walton Beach,FL,32548
Bernhard,Elise,Wentworth Industries,83.0,544.3,"Wed, 25 May 2011 00:00:00 +0000","Wed, 20 Apr 2011 00:00:00 +0000",Miai,FL,33173
Schmitt,Rudy,Mammoth Pictures,875.8,376.2,"Sun, 11 Mar 2012 00:00:00 +0000","Wed, 3 Feb 2010 00:00:00 +0000",Jacksonville,FL,32204
DuBuque,Jasper,Bluth Company,311.3,697.6,"Sun, 10 Apr 2011 00:00:00 +0000","Wed, 23 Jun 2010 00:00:00 +0000",Ponte Vedra,FL,32082
Krajcik,Helga,Strickland Propane,930.3,258.6,"Mon, 2 Aug 2010 00:00:00 +0000","Sat, 27 Feb 2010 00:00:00 +0000",Hollywood,FL,33021
Schumm,Zoie,123 Warehousing,394.4,787.4,"Mon, 14 Mar 2011 00:00:00 +0000","Tue, 20 Jul 2010 00:00:00 +0000",Tallahassee,FL,32308
Wehner,Alba,ZiffCorp,532.0,590.0,"Thu, 18 Aug 2011 00:00:00 +0000","Mon, 18 Jan 2010 00:00:00 +0000",Palm Harbor,FL,34684
Bartell,Omari,Western Gas & Electric,187.0,944.7,"Sat, 24 Jul 2010 00:00:00 +0000","Sun, 11 Jul 2010 00:00:00 +0000",Marianna,FL,32446
Fadel,Ottilie,Strickland Propane,310.4,152.3,"Mon, 19 Sep 2011 00:00:00 +0000","Fri, 21 May 2010 00:00:00 +0000",Amelia Island,FL,32034
Lemke,Torey,Fake Brothers,143.5,385.5,"Mon, 7 Mar 2011 00:00:00 +0000","Wed, 10 Nov 2010 00:00:00 +0000",Sanford,FL,32771
Eichmann,Brittany,"Acme, inc.",718.5,156.6,"Sun, 26 Dec 2010 00:00:00 +0000","Sat, 6 Feb 2010 00:00:00 +0000",Jacksonville,FL,32209
Littel,Eugenia,Mammoth Pictures,798.1,114.0,"Tue, 19 Jan 2010 00:00:00 +0000","Mon, 18 Jan 2010 00:00:00 +0000",Boca Raton,FL,33486
Jaskolski,Araceli,ZiffCorp,422.8,154.3,"Fri, 22 Jan 2010 00:00:00 +0000","Wed, 20 Jan 2010 00:00:00 +0000",Davie,FL,33331
Mayert,Lonie,Sombra Corporation,203.8,761.9,"Sun, 3 Jan 2010 00:00:00 +0000","Sat, 2 Jan 2010 00:00:00 +0000",Pembroke Pines,FL,33024
Hane,Valentine,Mammoth Pictures,339.4,270.5,"Tue, 14 Sep 2010 00:00:00 +0000","Tue, 10 Aug 2010 00:00:00 +0000",Amelia Island,FL,32034
Gusikowski,Meghan,Omni Consimer Products,118.3,83.2,"Sun, 12 Jun 2011 00:00:00 +0000","Wed, 17 Nov 2010 00:00:00 +0000",Boca Raton,FL,33486
Bosco,Craig,Mr. Sparkle,983.7,49.7,"Fri, 16 Mar 2012 00:00:00 +0000","Mon, 8 Aug 2011 00:00:00 +0000",Marianna,FL,32446
Cummings,Earlene,Water and Power,203.9,728.1,"Sat, 2 Apr 2011 00:00:00 +0000","Fri, 12 Feb 2010 00:00:00 +0000",Palm Harbor,FL,34684
Bins,Alfredo,Mr. Sparkle,464.5,196.9,"Thu, 16 Jun 2011 00:00:00 +0000","Mon, 18 Jan 2010 00:00:00 +0000",West Palm Beach,FL,33401
Connelly,Luther,Strickland Propane,668.7,782.5,"Tue, 10 Jan 2012 00:00:00 +0000","Fri, 27 May 2011 00:00:00 +0000",Sanford,FL,32771
Russel,Shaniya,123 Warehousing,812.5,962.4,"Tue, 25 Jan 2011 00:00:00 +0000","Wed, 14 Apr 2010 00:00:00 +0000",Orange Park,FL,32073
Brekke,Mertie,Mammoth Pictures,351.6,376.9,"Wed, 21 Mar 2012 00:00:00 +0000","Sat, 5 Jun 2010 00:00:00 +0000",Boca Raton,FL,33486
Kuhlman,Brianne,Water and Power,79.0,827.0,"Tue, 31 May 2011 00:00:00 +0000","Mon, 8 Nov 2010 00:00:00 +0000",Palm Harbor,FL,34684
Huel,Henderson,LuthorCorp,374.8,24.7,"Tue, 5 Jul 2011 00:00:00 +0000","Fri, 23 Jul 2010 00:00:00 +0000",Amelia Island,FL,32034
Kilback,Hallie,Fake Brothers,795.7,171.0,"Sat, 9 Oct 2010 00:00:00 +0000","Wed, 9 Jun 2010 00:00:00 +0000",Aventura,FL,33180
Lockman,Flo,"Acme, inc.",851.8,962.0,"Wed, 8 Feb 2012 00:00:00 +0000","Sat, 17 Jul 2010 00:00:00 +0000",Pembroke Pines,FL,33024
Shanahan,Deangelo,Smith and Co.,20.7,911.9,"Sun, 11 Apr 2010 00:00:00 +0000","Sun, 28 Mar 2010 00:00:00 +0000",Tallahassee,FL,32308
Schaden,Shanon,QWERTY Logistics,405.8,743.5,"Thu, 15 Apr 2010 00:00:00 +0000","Fri, 19 Feb 2010 00:00:00 +0000",Pensacola,FL,32504
Fadel,Lenora,Globex Corporation,72.4,242.4,"Thu, 17 Feb 2011 00:00:00 +0000","Wed, 12 May 2010 00:00:00 +0000",Tampa,FL,33606
Welch,Marcelle,Demo Company,45.9,421.5,"Thu, 24 Nov 2011 00:00:00 +0000","Thu, 24 Mar 2011 00:00:00 +0000",Orange Park,FL,32073
Crona,Aiden,Wentworth Industries,26.6,78.9,"Thu, 10 Mar 2011 00:00:00 +0000","Mon, 10 May 2010 00:00:00 +0000",Jacksonville,FL,32204
Bogisich,Edwina,Praxis Corporation,44.2,427.6,"Sun, 5 Dec 2010 00:00:00 +0000","Tue, 16 Feb 2010 00:00:00 +0000",West Palm Beach,FL,33401
Hilll,Rickey,Water and Power,930.8,839.2,"Fri, 11 Feb 2011 00:00:00 +0000","Thu, 9 Dec 2010 00:00:00 +0000",Fort Walton Beach,FL,32548
Towne,Guadalupe,Widget Corp,737.3,738.4,"Sun, 29 Aug 2010 00:00:00 +0000","Wed, 18 Aug 2010 00:00:00 +0000",Amelia Island,FL,32034
Gutmann,Litzy,North Central Positronics,389.7,298.7,"Sun, 14 Aug 2011 00:00:00 +0000","Sun, 14 Feb 2010 00:00:00 +0000",Melbourne,FL,32940
Moore,Jed,Omni Consimer Products,187.8,48.0,"Wed, 1 Feb 2012 00:00:00 +0000","Tue, 16 Aug 2011 00:00:00 +0000",Ft Myers,FL,33901
Boehm,Gustave,Sombra Corporation,974.7,300.0,"Fri, 21 May 2010 00:00:00 +0000","Fri, 23 Apr 2010 00:00:00 +0000",Miami,FL,33173
Morissette,Major,Bluth Company,993.4,194.4,"Tue, 9 Mar 2010 00:00:00 +0000","Mon, 8 Feb 2010 00:00:00 +0000",Tampa,FL,33606
Lueilwitz,Juliet,Widget Corp,837.8,879.6,"Wed, 28 Jul 2010 00:00:00 +0000","Tue, 30 Mar 2010 00:00:00 +0000",Miami,FL,33173
Nitzsche,Grayce,Mammoth Pictures,906.2,574.7,"Mon, 25 Jul 2011 00:00:00 +0000","Mon, 1 Mar 2010 00:00:00 +0000",Naples,FL,34110
Mills,Alfonzo,Wayne Enterprises,644.2,669.8,"Fri, 23 Mar 2012 00:00:00 +0000","Tue, 22 Nov 2011 00:00:00 +0000",Sanford,FL,32771
Schowalter,Earlene,Omni Consimer Products,439.6,146.6,"Wed, 10 Aug 2011 00:00:00 +0000","Mon, 13 Dec 2010 00:00:00 +0000",Ponte Vedra,FL,32082
Rippin,Keely,Mr. Sparkle,678.6,834.6,"Fri, 17 Dec 2010 00:00:00 +0000","Sun, 31 Oct 2010 00:00:00 +0000",Pensacola,FL,32503
Frami,Elinore,ZiffCorp,484.7,379.1,"Sat, 24 Sep 2011 00:00:00 +0000","Fri, 4 Feb 2011 00:00:00 +0000",Pembroke Pines,FL,33028
O'Kon,Cortez,Widget Corp,453.9,318.1,"Mon, 25 Jul 2011 00:00:00 +0000","Tue, 21 Jun 2011 00:00:00 +0000",Pembroke Pines,FL,33024
Mayert,Faustino,Water and Power,605.7,533.8,"Tue, 28 Jun 2011 00:00:00 +0000","Sat, 5 Jun 2010 00:00:00 +0000",Miai,FL,33173
Fritsch,Precious,Water and Power,95.3,103.6,"Thu, 23 Jun 2011 00:00:00 +0000","Tue, 26 Oct 2010 00:00:00 +0000",Jacksonville,FL,32204
Metz,Citlalli,Fake Brothers,722.1,544.6,"Tue, 21 Jun 2011 00:00:00 +0000","Thu, 26 May 2011 00:00:00 +0000",Englewood,FL,34223
Konopelski,Estel,Mammoth Pictures,914.5,262.6,"Sat, 7 Aug 2010 00:00:00 +0000","Tue, 23 Feb 2010 00:00:00 +0000",Sanford,FL,32771
Tromp,Gerhard,Mr. Sparkle,130.1,978.9,"Sun, 6 Jun 2010 00:00:00 +0000","Wed, 2 Jun 2010 00:00:00 +0000",Boca Raton,FL,33486
Koss,Adeline,Sombra Corporation,458.2,121.3,"Mon, 8 Aug 2011 00:00:00 +0000","Wed, 6 Jan 2010 00:00:00 +0000",Englewood,FL,34223
Jacobson,Casimer,"Acme, inc.",250.7,743.2,"Fri, 13 Jan 2012 00:00:00 +0000","Thu, 26 May 2011 00:00:00 +0000",Pembroke Pines,FL,33024
O'Reilly,Maymie,ABC Telecom,480.0,377.6,"Mon, 16 Jan 2012 00:00:00 +0000","Fri, 11 Feb 2011 00:00:00 +0000",Pensacola,FL,32503
Johnston,Myrtie,Sombra Corporation,653.7,830.9,"Fri, 3 Dec 2010 00:00:00 +0000","Wed, 6 Oct 2010 00:00:00 +0000",Amelia Island,FL,32034
Schamberger,Myrtie,Mooby Corp,249.1,298.3,"Sun, 25 Sep 2011 00:00:00 +0000","Tue, 15 Feb 2011 00:00:00 +0000",Palm Harbor,FL,34684
Mraz,Anissa,Wayne Enterprises,214.7,349.2,"Tue, 5 Oct 2010 00:00:00 +0000","Fri, 5 Mar 2010 00:00:00 +0000",Miai,FL,33173
Hoeger,Lynn,QWERTY Logistics,669.2,48.4,"Tue, 12 Oct 2010 00:00:00 +0000","Mon, 24 May 2010 00:00:00 +0000",Miai,FL,33173
Hoeger,Barbara,Gringotts,339.4,959.7,"Wed, 20 Oct 2010 00:00:00 +0000","Sun, 6 Jun 2010 00:00:00 +0000",Jacksonville,FL,32209
Prosacco,Verla,Western Gas & Electric,464.9,421.1,"Fri, 3 Jun 2011 00:00:00 +0000","Fri, 9 Apr 2010 00:00:00 +0000",Hollywood,FL,33021
Grady,Josefina,Globex Corporation,205.5,673.0,"Sun, 30 Jan 2011 00:00:00 +0000","Mon, 1 Nov 2010 00:00:00 +0000",Jacksonville,FL,32209
Hagenes,Willis,ABC Telecom,796.2,873.5,"Fri, 8 Apr 2011 00:00:00 +0000","Fri, 30 Jul 2010 00:00:00 +0000",West Palm Beach,FL,33401
Jacobi,Adonis,Bluth Company,80.2,688.7,"Mon, 14 Nov 2011 00:00:00 +0000","Sun, 19 Jun 2011 00:00:00 +0000",Ft Myers,FL,33901
Botsford,Lia,Mammoth Pictures,672.5,879.2,"Thu, 2 Feb 2012 00:00:00 +0000","Thu, 21 Oct 2010 00:00:00 +0000",West Palm Beach,FL,33401
Bayer,Stan,Foo Bars,811.8,802.6,"Thu, 14 Jul 2011 00:00:00 +0000","Tue, 4 May 2010 00:00:00 +0000",Hollywood,FL,33021
Kulas,Elise,Omni Consimer Products,803.0,725.4,"Mon, 31 May 2010 00:00:00 +0000","Sat, 13 Feb 2010 00:00:00 +0000",Ft Myers,FL,33901
Green,Otis,"Acme, inc.",487.8,473.0,"Mon, 21 Mar 2011 00:00:00 +0000","Sat, 18 Dec 2010 00:00:00 +0000",Tallahassee,FL,32308
Johnson,Marlin,LexCorp,726.4,226.1,"Sun, 3 Oct 2010 00:00:00 +0000","Mon, 15 Feb 2010 00:00:00 +0000",Ft Myers,FL,33901
Botsford,Joelle,Acme Corp,712.7,20.4,"Thu, 2 Dec 2010 00:00:00 +0000","Sat, 30 Oct 2010 00:00:00 +0000",Palm Harbor,FL,34684
Cremin,Julian,123 Warehousing,217.7,584.7,"Wed, 16 Jun 2010 00:00:00 +0000","Sat, 8 May 2010 00:00:00 +0000",Tallahassee,FL,32308
Veum,Kenton,"Acme, inc.",173.5,207.5,"Mon, 15 Nov 2010 00:00:00 +0000","Wed, 28 Jul 2010 00:00:00 +0000",Tampa,FL,33606
Herzog,Dedric,Fake Brothers,903.2,107.4,"Wed, 22 Feb 2012 00:00:00 +0000","Tue, 11 Oct 2011 00:00:00 +0000",Ponte Vedra,FL,32082
Gusikowski,Tad,Strickland Propane,773.7,999.5,"Sat, 31 Dec 2011 00:00:00 +0000","Mon, 15 Mar 2010 00:00:00 +0000",Miai,FL,33173
Schimmel,Ruthie,Strickland Propane,478.0,796.8,"Mon, 15 Aug 2011 00:00:00 +0000","Mon, 29 Nov 2010 00:00:00 +0000",Englewood,FL,34223
Miller,Marian,Praxis Corporation,271.4,847.0,"Fri, 26 Mar 2010 00:00:00 +0000","Sat, 16 Jan 2010 00:00:00 +0000",Pembroke Pines,FL,33024
Macejkovic,Wendell,Mooby Corp,936.3,234.7,"Tue, 25 Oct 2011 00:00:00 +0000","Sat, 9 Jan 2010 00:00:00 +0000",Jacksonville,FL,32209
